Title,Original Price,Discounted Price,Release Date,Link,Game Description,Recent Reviews Summary,All Reviews Summary,Recent Reviews Number,All Reviews Number,Developer,Publisher,Supported Languages,Popular Tags,Game Features,Minimum Requirements
FINAL FANTASY X/X-2 HD Remaster,$14.49 ,$14.49 ,"12 May, 2016",https://store.steampowered.com/app/359870/FINAL_FANTASY_XX2_HD_Remaster/?snr=1_7_7_230_150_15,"FINAL FANTASY X/X-2 HD Remaster celebrates two of the most cherished and beloved entries to the world-renowned franchise, completely remastered in gorgeous High Definition & now available on PC / Windows!",Very Positive,Very Positive,- 89% of the 107 user reviews in the last 30 days are positive.,"- 90% of the 13,622 user reviews for this game are positive.",Square Enix,Square Enix,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Traditional Chinese']","['JRPG', 'Story Rich', 'RPG', 'Turn-Based Combat', 'Great Soundtrack', 'Fantasy', 'Singleplayer', 'Classic', 'Adventure', 'Turn-Based', 'Atmospheric', 'Romance', 'Female Protagonist', 'Anime', 'Remake', 'Action', 'Linear', 'Open World', 'Puzzle', 'Sports']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet']",OS: |  Windows Vista or later | Processor: |  2GHz Dual Core CPU | Memory: |  1 GB RAM | Graphics: |  NVIDIA Geforce 9600GT VRAM 512MB or later / ATI Radeon HD 2600XT VRAM 512MB or later | Storage: |  37 GB available space | Sound Card: |  DirectX Compatible Sound Card
Goose Goose Duck,Free,Free,"3 Oct, 2021",https://store.steampowered.com/app/1568590/Goose_Goose_Duck/?snr=1_7_7_230_150_15,Time to be a Silly Goose! Immerse yourself in the various environments of the Birdverse of Goose Goose Duck. A game of social deduction where you and your fellow geese must work together to complete your mission. Watch out for those malicious Mallards and other birds!,Very Positive,Very Positive,"- 83% of the 1,376 user reviews in the last 30 days are positive.","- 87% of the 50,591 user reviews for this game are positive.","Gaggle Studios, Inc.","Gaggle Studios, Inc.","['English', 'French', 'German', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Simplified Chinese', 'Spanish - Latin America', 'Thai', 'Traditional Chinese', 'Turkish', 'Italian', 'Czech', 'Hungarian', 'Polish', 'Russian', 'Vietnamese']","['Free to Play', 'Multiplayer', 'PvP', 'Strategy', 'Character Customization', 'Cute', '2D', 'Casual', 'Funny', 'Cartoon', 'Massively Multiplayer', 'Conversation', 'Online Co-Op', 'Indie', 'Social Deduction', 'Co-op', 'Gaming', 'Action']","['Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases']",Requires a 64-bit processor and operating system | OS: |  Windows 7 | Processor: |  Intel Core2 Duo 2.4ghz+ | Memory: |  2 GB RAM | Graphics: |  Integrated Graphics | DirectX: |  Version 9.0 | Network: |  Broadband Internet connection | Storage: |  400 MB available space | Additional Notes: |  Proximity Chat Req 10Mbps Up/Down
Choo-Choo Charles,$10.49 ,$7.34 ,"9 Dec, 2022",https://store.steampowered.com/app/1766740/ChooChoo_Charles/?snr=1_7_7_230_150_15,"Navigate an open-world island in an old train, upgrade it over time, and use it to fight an evil spider train named Charles.",Very Positive,Very Positive,- 93% of the 202 user reviews in the last 30 days are positive.,"- 92% of the 10,844 user reviews for this game are positive.",Two Star Games,Two Star Games,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Italian', 'Czech', 'Danish', 'Dutch', 'Hungarian', 'Portuguese - Portugal', 'Spanish - Latin America', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish', 'Hindi', 'Ukrainian', 'Vietnamese']","['Survival Horror', 'Open World', 'Horror', 'First-Person', 'Trains', 'Singleplayer', 'Shooter', 'Dark', '3D', 'Action-Adventure', 'FPS', 'Adventure', 'Atmospheric', 'Indie', 'Psychological Horror', 'Choices Matter', 'Action', 'Hand-drawn', 'Thriller', 'Hentai']","['Single-player', 'Steam Achievements', 'Partial Controller Support']",OS: |  Windows 7 64-bit | Processor: |  2.5 GHz Quad-core Intel or AMD processor | Memory: |  4 GB RAM | Graphics: |  NVIDIA GeForce 470 GTX or AMD Radeon 6870 HD | Storage: |  3 GB available space | Additional Notes: |  The game includes graphics settings to aid lower end devices.
Counter-Strike: Source,$6.29 ,$6.29 ,"1 Nov, 2004",https://store.steampowered.com/app/240/CounterStrike_Source/?snr=1_7_7_230_150_15,Counter-Strike: Source blends Counter-Strike's award-winning teamplay action with the advanced technology of Source? technology.,Overwhelmingly Positive,Overwhelmingly Positive,"- 96% of the 1,034 user reviews in the last 30 days are positive.","- 96% of the 105,942 user reviews for this game are positive.",Valve,Valve,"['English', 'French', 'German', 'Italian', 'Japanese', 'Korean', 'Spanish - Spain', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Thai', 'Turkish']","['Shooter', 'Action', 'FPS', 'Multiplayer', 'Team-Based', 'First-Person', 'Competitive', 'Tactical', 'PvP', 'eSports', 'Military', 'War', 'Strategy', 'Moddable', 'Singleplayer', 'Difficult', 'Atmospheric', 'Survival', 'Simulation', 'Sandbox']","['Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes Source SDK']",
Hammerwatch Anniversary Edition,$19.99 ,$19.99 ,"15 Aug, 2023",https://store.steampowered.com/app/1905530/Hammerwatch_Anniversary_Edition/?snr=1_7_7_230_150_15,"Choose between seven hero classes, each with unique capabilities. Brave hordes of deadly creatures alone, or band together with your noblest of champions in co-op mode available both online and locally. Take on the challenges in three different campaigns, or build your own custom scenario.",Positive,,- 94% of the 37 user reviews for this game are positive.,,Crackshell,Modus Games,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Simplified Chinese', 'Traditional Chinese', 'Korean', 'Russian']","['Action', 'Adventure', 'RPG', 'Action RPG', 'Hack and Slash', 'Pixel Graphics', 'Medieval', 'Co-op', 'Multiplayer', 'Indie', 'Online Co-Op', 'Singleplayer']","['Single-player', 'Online Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Remote Play Together']",Requires a 64-bit processor and operating system | OS: |  Windows 7 or later | Processor: |  Intel Core? Duo or faster | Graphics: |  OpenGL 3.2+ / DirectX 11+
Pseudoregalia,$3.99 ,$3.99 ,"28 Jul, 2023",https://store.steampowered.com/app/2365810/Pseudoregalia/?snr=1_7_7_230_150_15,"Deep within the realm of sleep, Sybil finds herself pulled to a distorted castle. Grow strong, and unlock new abilities to build up a deep movement system, fight enemies, find secrets, and free the weary soul of Castle Sansa, in this retro-inspired 3D Platformer Metroidvania.",Overwhelmingly Positive,,"- 98% of the 2,169 user reviews for this game are positive.",,rittzler,rittzler,['English'],"['3D Platformer', 'Metroidvania', 'Exploration', 'Parkour', 'Platformer', 'Female Protagonist', '3D', 'Surreal', 'Nonlinear', 'Controller', 'Third Person', 'Souls-like', 'Stylized', 'Abstract', 'Fantasy', 'Singleplayer', 'Old School', 'Adventure', 'Magic', 'Cartoon']","['Single-player', 'Full controller support']",OS: |  Windows 10 | Processor: |  Quad-core Intel or AMD 2.5 GHz | Memory: |  8 GB RAM | Graphics: |  GTX 1660 | Storage: |  600 MB available space
Ghostwire: Tokyo,$36.99 ,$36.99 ,"24 Mar, 2022",https://store.steampowered.com/app/1475810/Ghostwire_Tokyo/?snr=1_7_7_230_150_15,"Tokyo's population has vanished, and deadly supernatural forces prowl the streets. Use an arsenal of elemental abilities to unravel the truth behind the disappearance and save Tokyo.",Very Positive,Very Positive,- 87% of the 224 user reviews in the last 30 days are positive.,"- 82% of the 8,473 user reviews for this game are positive.",Tango Gameworks,Bethesda Softworks,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Spanish - Latin America', 'Portuguese - Brazil', 'Polish', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Japanese', 'Korean']","['Singleplayer', 'Supernatural', 'Open World', 'First-Person', 'Horror', 'Action-Adventure', 'Action', 'Story Rich', 'Atmospheric', 'Lore-Rich', 'Surreal', 'Mystery', 'Combat', 'Exploration', 'Cyberpunk', 'Adventure', 'FPS', 'Realistic', 'Psychological Horror', 'Survival Horror']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud']","Requires a 64-bit processor and operating system | OS: |  64bit Windows10 (version 1909 or higher) | Processor: |  Core i7 4770K @3.5ghz / Ryzen 5 2600 | Memory: |  12 GB RAM | Graphics: |  GTX1060 / RX5500XT / Arc A380*  (VRAM 6GB or higher) | DirectX: |  Version 12 | Storage: |  26 GB available space | Additional Notes: |  SSD Storage,  *Please check Intel's website for Arc compatible CPU and motherboard requirements."
Fallout Shelter,Free,Free,"29 Mar, 2017",https://store.steampowered.com/app/588430/Fallout_Shelter/?snr=1_7_7_230_150_16,"Fallout Shelter puts you in control of a state-of-the-art underground Vault from Vault-Tec. Build the perfect Vault, keep your Dwellers happy, and protect them from the dangers of the Wasteland.",Very Positive,Very Positive,"- 88% of the 837 user reviews in the last 30 days are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.","- 88% of the 59,947 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",Bethesda Game Studios,Bethesda Softworks,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Russian']","['Free to Play', 'Base Building', 'Survival', 'Post-apocalyptic', 'Singleplayer', 'Simulation', 'Management', 'Strategy', '2D', 'Building', 'Casual', 'Crafting', 'Adventure', 'Sandbox', 'RPG', 'Multiplayer', 'Funny', 'Atmospheric', 'Action', 'Great Soundtrack']","['Single-player', 'Steam Achievements', 'Full controller support', 'In-App Purchases', 'Steam Cloud', 'Stats']","Requires a 64-bit processor and operating system | OS: |  Windows 7 64 bit | Processor: |  Intel Core 2 Quad CPU Q9550 @2.83GHZ | Memory: |  2 GB RAM | Graphics: |  NVIDIA GeForce GTS 250 1Ghz, Radeon HD 6970 1GHz | Storage: |  2 GB available space"
Sherlock Holmes Chapter One,$28.99 ,$8.69 ,"15 Nov, 2021",https://store.steampowered.com/app/1137300/Sherlock_Holmes_Chapter_One/?snr=1_7_7_230_150_16,"In this story-driven detective thriller, a young Sherlock Holmes struggles to prove himself as he navigates an exotic, dangerous island in the Mediterranean to investigate the mystery of his mother＊s death.",Very Positive,Mostly Positive,- 82% of the 45 user reviews in the last 30 days are positive.,"- 78% of the 2,210 user reviews for this game are positive.",Frogwares,Frogwares,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Czech', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Turkish', 'Ukrainian']","['Detective', 'Open World', 'Story Rich', 'Mystery', 'Action', 'Choices Matter', 'Crime', 'Adventure', 'Action-Adventure', 'Investigation', 'Atmospheric', 'Combat', 'Exploration', 'Third Person', 'Multiple Endings', 'Narration', 'Psychological', 'Thriller', 'Emotional', 'Drama']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Requires a 64-bit processor and operating system | OS: |  Windows 10 64bit | Processor: |  Intel Core i5-6600 or AMD Ryzen 5 2600 | Memory: |  12 GB RAM | Graphics: |  Nvidia GeForce GTX 960, 4 GB or AMD Radeon R9 380, 4 GB | DirectX: |  Version 11 | Storage: |  28 GB available space"
Maneater,$18.49 ,$18.49 ,"25 May, 2021",https://store.steampowered.com/app/629820/Maneater/?snr=1_7_7_230_150_16,"Experience the ultimate power fantasy as the apex predator of the seas - a giant Shark! Terrorize the coastal waterways. Tear swimmers and divers limb from limb, give the humans a reason to fear you!",Very Positive,Very Positive,- 85% of the 502 user reviews in the last 30 days are positive.,"- 89% of the 9,175 user reviews for this game are positive.",Tripwire Interactive,Tripwire Interactive,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Turkish']","['Dark Humor', 'Nature', 'Open World', 'Underwater', 'Singleplayer', 'Exploration', 'Violent', 'Female Protagonist', 'Action RPG', 'Third Person', 'Narration', 'Gore', 'Action-Adventure', 'Action', 'RPG', 'Simulation', 'Villain Protagonist', 'Atmospheric', 'Adventure', 'Satire']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",Requires a 64-bit processor and operating system | OS: |  Windows 10 | Processor: |  Intel Core i5-5300u | Memory: |  8 GB RAM | Graphics: |  Intel HD 5500 | DirectX: |  Version 11 | Network: |  Broadband Internet connection | Storage: |  20 GB available space
Command & Conquer? Remastered Collection,$19.99 ,$19.99 ,"5 Jun, 2020",https://store.steampowered.com/app/1213210/Command__Conquer_Remastered_Collection/?snr=1_7_7_230_150_16,"Command & Conquer and Red Alert are both remastered in 4K by the former Westwood Studios team members. Includes all 3 expansions, rebuilt multiplayer, a modernized UI, Map Editor, bonus footage gallery, and over 7 hours of remastered music.",Very Positive,Very Positive,- 90% of the 222 user reviews in the last 30 days are positive.,"- 90% of the 25,898 user reviews for this game are positive.","Petroglyph, Lemon Sky Studios",Electronic Arts,"['English', 'French', 'German', 'Spanish - Spain', 'Polish', 'Russian', 'Simplified Chinese', 'Traditional Chinese']","['Strategy', 'RTS', 'Base Building', 'Classic', 'Multiplayer', 'Great Soundtrack', 'War', 'Singleplayer', ""1990's"", 'FMV', 'Remake', 'Level Editor', 'PvP', 'Replay Value', 'Tanks', 'Soundtrack', 'Cinematic', 'Isometric', 'Real Time Tactics', 'Retro']","['Single-player', 'Online PvP', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']",Requires a 64-bit processor and operating system | OS: |  Windows 8.1/10 (64-bit Version) | Processor: |  Intel Core 2 Duo E4600 @ 2.4ghz or AMD Athlon 64 X2 6400 @ 2.4ghz | Memory: |  4 GB RAM | Graphics: |  NVIDIA GeForce GT 420 or ATI Radeon HD 5570 | DirectX: |  Version 11 | Network: |  Broadband Internet connection | Storage: |  32 GB available space
A Hat in Time,$17.99 ,$17.99 ,"5 Oct, 2017",https://store.steampowered.com/app/253230/A_Hat_in_Time/?snr=1_7_7_230_150_16,A Hat in Time is a cute-as-heck 3D platformer featuring a little girl who stitches hats for wicked powers! Freely explore giant worlds and recover Time Pieces to travel to new heights!,Overwhelmingly Positive,Overwhelmingly Positive,- 97% of the 338 user reviews in the last 30 days are positive.,"- 98% of the 38,138 user reviews for this game are positive.",Gears for Breakfast,Gears for Breakfast,"['English', 'German', 'Korean', 'French', 'Simplified Chinese', 'Traditional Chinese', 'Italian', 'Japanese', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Spanish - Latin America']","['Cute', '3D Platformer', 'Collectathon', 'Great Soundtrack', 'Female Protagonist', 'Adventure', 'Indie', 'Funny', 'Platformer', 'Colorful', 'Exploration', 'Third Person', 'Singleplayer', 'Co-op', 'Open World', 'Moddable', 'Comedy', 'Family Friendly', 'Action', 'Kickstarter']","['Single-player', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']",Requires a 64-bit processor and operating system | OS: |  Windows XP SP3 / Windows Vista / Windows 7 / Windows 8 / Windows 10 64-bit only | Processor: |  3.0 GHz processor | Memory: |  4 GB RAM | DirectX: |  Version 9.0c | Storage: |  8 GB available space
Dungeon Defenders II,Free,Free,"20 Jun, 2017",https://store.steampowered.com/app/236110/Dungeon_Defenders_II/?snr=1_7_7_230_150_16,"Dungeon Defenders II is a cooperative Action Tower Defense game packed with roleplaying elements like loot, leveling, and pets.",Mostly Positive,Mostly Positive,- 78% of the 98 user reviews in the last 30 days are positive.,"- 77% of the 20,718 user reviews for this game are positive.",Chromatic Games,Chromatic Games,['English'],"['Multiplayer', 'Online Co-Op', 'Co-op Campaign', 'Tower Defense', 'Singleplayer', 'Strategy RPG', 'Survival', 'Action RPG', 'Character Customization', 'Tactical', 'Third Person', 'Family Friendly', 'Building', 'Loot', 'Fantasy', 'Cartoony', 'Team-Based', '3D', 'Colorful', 'Party-Based RPG']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']","OS: |  Windows 7 (SP1) 64-Bit | Processor: |  2.0 Ghz Dual-Core CPU | Memory: |  3 GB RAM | Graphics: |  ATI Radeon HD 2600 or better / NVIDIA GeForce 8600 or better, 512 MB video memory, with Shader Model 3 support | DirectX: |  Version 9.0 | Network: |  Broadband Internet connection | Storage: |  20 GB available space | Sound Card: |  DirectSound-compatible sound device | Additional Notes: |  Internet connection is required to play."
Wall World,$4.69 ,$4.69 ,"5 Apr, 2023",https://store.steampowered.com/app/2187290/Wall_World/?snr=1_7_7_230_150_16,"Explore the mysterious Wall World on your giant robospider: mine for valuable resources, upgrade your equipment to fight off hordes of monsters, and discover exotic biomes in-between attacks. Will you be able to survive and learn the secrets of the Wall World?",Very Positive,Very Positive,- 87% of the 303 user reviews in the last 30 days are positive.,"- 92% of the 4,774 user reviews for this game are positive.",Alawar Premium,Alawar Premium,"['English', 'French', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Simplified Chinese', 'Korean', 'Polish', 'Russian', 'Traditional Chinese', 'Japanese']","['Roguelite', 'Mining', 'Tower Defense', 'Difficult', 'Roguelike', 'Strategy', 'Pixel Graphics', 'Exploration', 'Procedural Generation', 'Mechs', 'Management', 'Aliens', 'Singleplayer', 'Action-Adventure', 'Action', 'Combat', 'Side Scroller', 'Sci-fi', '2D', 'Resource Management']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",Requires a 64-bit processor and operating system | OS: |  Windows 7 or later | Processor: |  Intel Core i5 or equvalent | Memory: |  4 GB RAM | Graphics: |  Nvidia GeForce GTX 650 or equvalent | Storage: |  2 GB available space
Watch Dogs?: Legion,$32.99 ,$32.99 ,"26 Jan, 2023",https://store.steampowered.com/app/2239550/Watch_Dogs_Legion/?snr=1_7_7_230_150_16,Build a resistance as you fight to take back a near-future London facing its downfall. Welcome to the Resistance.,Mixed,Mixed,- 55% of the 424 user reviews in the last 30 days are positive.,"- 55% of the 4,170 user reviews for this game are positive.",Ubisoft Toronto,Ubisoft,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Dutch', 'Japanese', 'Polish', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Korean', 'Portuguese - Brazil']","['Action', 'Adventure', 'RPG', 'Shooter', 'Open World', 'Hacking', 'Multiplayer', 'Cyberpunk', 'Realistic', 'Co-op', 'Third Person', 'Singleplayer', 'Online Co-Op', 'Action-Adventure', 'Choose Your Own Adventure', 'Exploration', 'Third-Person Shooter', 'Driving', 'Underground', 'Dystopian']","['Single-player', 'Online PvP', 'Online Co-op', 'In-App Purchases', 'Partial Controller Support']","Requires a 64-bit processor and operating system | OS: |  Windows 10 (64-bit versions) | Processor: |  Intel Core i5-4460 or AMD Ryzen 5 1400 290X | Memory: |  8 GB RAM | Graphics: |  NVIDIA GeForce GTX 970, NVIDIA GeForce GTX 1650, or AMD Radeon R9 290X | DirectX: |  Version 11 | Network: |  Broadband Internet connection | Storage: |  115 GB available space"
Roboquest,$19.99 ,$19.99 ,"20 Aug, 2020",https://store.steampowered.com/app/692890/Roboquest/?snr=1_7_7_230_150_16,"Roboquest is a fast FPS Roguelite in a scorched futureworld. You're a rebooted Guardian, ready to kick some metal ass! Fight with your buddy or by yourself and annihilate hordes of deadly bots in ever-changing environments.",Very Positive,Very Positive,- 90% of the 72 user reviews in the last 30 days are positive.,"- 94% of the 4,723 user reviews for this game are positive.",RyseUp Studios,RyseUp Studios,"['English', 'French', 'Simplified Chinese', 'Korean', 'Spanish - Spain', 'Hungarian', 'Japanese']","['Early Access', 'FPS', 'Action Roguelike', 'Roguelite', 'Co-op', 'Online Co-Op', 'Shooter', 'Fast-Paced', 'Post-apocalyptic', 'Looter Shooter', 'Bullet Hell', 'Action', 'Perma Death', 'Sci-fi', 'Stylized', 'Indie', 'Colorful', 'Singleplayer', 'First-Person', 'Multiplayer']","['Single-player', 'Online Co-op', 'Partial Controller Support', 'Steam Cloud']",Requires a 64-bit processor and operating system | OS: |  Windows 10 | Processor: |  i3 4130 | Memory: |  8 GB RAM | Graphics: |  Nvidia GeForce GTX 660 | DirectX: |  Version 11 | Storage: |  6 GB available space
BioShock Infinite,$17.99 ,$17.99 ,"25 Mar, 2013",https://store.steampowered.com/app/8870/BioShock_Infinite/?snr=1_7_7_230_150_16,"Indebted to the wrong people, with his life on the line, veteran of the U.S. Cavalry and now hired gun, Booker DeWitt has only one opportunity to wipe his slate clean. He must rescue Elizabeth, a mysterious girl imprisoned since childhood and locked up in the flying city of Columbia.",Very Positive,Very Positive,- 92% of the 459 user reviews in the last 30 days are positive.,"- 93% of the 99,205 user reviews for this game are positive.","Irrational Games, Virtual Programming (Linux)",2K,"['English', 'French', 'German', 'Italian', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Russian', 'Japanese', 'Korean', 'Traditional Chinese']","['FPS', 'Story Rich', 'Action', 'Singleplayer', 'Steampunk', 'Atmospheric', 'Shooter', 'First-Person', 'Beautiful', 'Alternate History', 'Adventure', 'Great Soundtrack', 'Dystopian', 'Sci-fi', 'Time Travel', 'Fantasy', 'Gore', 'Linear', 'RPG', 'Immersive']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Tablet', 'Remote Play on TV']","OS: |  Windows Vista Service Pack 2 32-bit |   | Processor: |  Intel Core 2 DUO 2.4 GHz / AMD Athlon X2 2.7 GHz |   | Memory: |  2GB |   | Hard Disk Space: |  20 GB free |   | Video Card: |  DirectX10 Compatible ATI Radeon HD 3870 / NVIDIA 8800 GT / Intel HD 3000 Integrated Graphics |   | Video Card Memory: |  512 MB	 |   | Sound: |  DirectX Compatible"
Sackboy?: A Big Adventure,$49.99 ,$49.99 ,"27 Oct, 2022",https://store.steampowered.com/app/1599660/Sackboy_A_Big_Adventure/?snr=1_7_7_230_150_16,"PERFECTLY CRAFTED FOR PC. PlayStation? icon Sackboy bursts into action on PC in a huge 3D multiplayer platforming adventure. An epic journey stuffed with platforming challenges. Deeply immersive controls. Collaborative, chaotic and joyful multiplayer fun.",Mostly Positive,Very Positive,- 75% of the 36 user reviews in the last 30 days are positive.,"- 84% of the 1,092 user reviews for this game are positive.",Sumo Digital,PlayStation PC LLC,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Brazil', 'Portuguese - Portugal', 'Romanian', 'Russian', 'Spanish - Latin America', 'Swedish', 'Traditional Chinese', 'Turkish']","['Adventure', 'Multiplayer', 'Platformer', 'Family Friendly', 'Co-op', '3D', 'Online Co-Op', 'Singleplayer', 'Local Co-Op', '3D Platformer', 'Action', 'Cute', 'Local Multiplayer', 'Great Soundtrack', 'Casual', 'Colorful']","['Single-player', 'Online Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Steam Cloud']","Requires a 64-bit processor and operating system | OS: |  Windows 10 64-bit (version 1809) | Processor: |  Intel Core i5-6400 @ 2.7GHz, AMD FX-6300 @ 3.5GHz | Memory: |  8 GB RAM | Graphics: |  NVIDIA GeForce GTX 660, AMD Radeon R7 265 | Storage: |  60 GB available space | Additional Notes: |  60 GB HDD (SSD Recommended)"
Wildermyth,$12.49 ,$12.49 ,"15 Jun, 2021",https://store.steampowered.com/app/763890/Wildermyth/?snr=1_7_7_230_150_16,"Wildermyth follows heroes over their whole careers, from their pitchfork days to their powerful primes, and on into old age and memory. It＊s a party-based procedural storytelling RPG where tactical combat and story decisions will alter your world and reshape your cast of characters.",Very Positive,Overwhelmingly Positive,- 93% of the 121 user reviews in the last 30 days are positive.,"- 95% of the 13,975 user reviews for this game are positive.",Worldwalker Games LLC,Worldwalker Games LLC,"['English', 'Simplified Chinese', 'Portuguese - Brazil', 'German', 'Spanish - Latin America', 'French']","['Party-Based RPG', 'Choices Matter', 'Story Rich', 'Turn-Based Tactics', 'Character Customization', 'Procedural Generation', 'Tactical RPG', 'Fantasy', 'Roguelite', 'Hand-drawn', 'Turn-Based Strategy', 'Emotional', 'RPG', 'Turn-Based', 'Comic Book', 'Moddable', 'Indie', 'Strategy', 'Singleplayer', '2.5D']","['Single-player', 'Online Co-op', 'LAN Co-op', 'Steam Achievements', 'Full controller support', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Remote Play Together']",Requires a 64-bit processor and operating system | OS: |  Windows 7+ | Processor: |  i3 or better | Memory: |  3 GB RAM | Graphics: |  Open GL 3.2 | Storage: |  2 GB available space
Call to Arms,$8.49 ,$8.49 ,"30 Jul, 2015",https://store.steampowered.com/app/302670/Call_to_Arms/?snr=1_7_7_230_150_16,"Call to Arms offers an innovative mix of real-time strategy and 3rd, as well as 1st person controls. Set in the time of modern warfare, the game offers realistically modeled vehicles and heavy weaponry. Command your troops to victory or fight by yourself in the 3rd or 1st person action mode.",Mostly Positive,Very Positive,- 79% of the 168 user reviews in the last 30 days are positive.,"- 81% of the 14,228 user reviews for this game are positive.",Digitalmindsoft,Digitalmindsoft,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Russian', 'Simplified Chinese']","['Strategy', 'Military', 'Action', 'Multiplayer', 'RTS', 'War', 'Shooter', 'Tactical', 'Simulation', 'First-Person', 'Real-Time', 'Singleplayer', 'FPS', 'Modern', 'Co-op', 'Realistic', 'Sandbox', 'Third Person', 'Indie', 'Early Access']","['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Includes level editor']","Requires a 64-bit processor and operating system | OS: |  64bit - Windows 7, 8, 10 | Memory: |  4 GB RAM | Graphics: |  DirectX 11 compatible | DirectX: |  Version 11 | Storage: |  40 GB available space | Sound Card: |  DirectX 11 compatible"
